# RUN METADATA
# Timestamp,2026-04-15T10:00:13
# Threshold,0.6
# Analysed,460
# Passed,103

ticker,score,reasoning,company_name,sector,industry,current_price,market_cap,pb_ratio,roe,roce,debt_to_equity,profit_cagr_3yr,revenue_cagr_3yr,eps_growth_1yr,pat_margin,gross_margin,gpm,opm,receivables_pct_sales,m_score_components,market_cap_crores,fcf_crores,pe_ratio,m_score_risk
NATCOPHARM,0.7802,STRONG candidate (Healthcare). Profile: Average Performer (Requires Strict Checklist Review).,NATCOPHARM,Healthcare,Unknown,1086.8,0,2.2506628,28.0,32.8,,123.01,32.3,13.900000000000002,34.13,81.971,80.38580106990662,44.90887659805966,28.257321606673315,"{'dsri': np.float64(0.9456660039417257), 'gmi': np.float64(0.9743338847117764), 'sgi': np.float64(1.1087765155323213), 'lvgi': np.float64(0.602299941378751), 'tata': np.float64(0.021851972007229922)}",19435.0,1697.0,12.5,LOW
ITC,0.772,STRONG candidate (Fast Moving Consumer Goods). Profile: Average Performer (Requires Strict Checklist Review). Notable: exceptional capital efficiency (27.3%).,ITC,Fast Moving Consumer Goods,Unknown,302.8,0,5.3397284,27.3,36.8,,31.61,7.51,0.0,43.890997999999996,55.942,56.631399648401434,32.40730619884019,6.322116685500391,"{'dsri': np.float64(1.058303695737078), 'gmi': np.float64(1.0492790772343874), 'sgi': np.float64(1.1077632872263137), 'lvgi': np.float64(0.9775742373480787), 'tata': np.float64(0.19434053636548157)}",378828.0,17627.0,18.4,LOW
SOLARINDS,0.7705,STRONG candidate (Chemicals). Profile: High-Growth (Low Margin of Safety). Notable: stellar profit growth (39.9%) | expensive valuation (PE 92.2x).,SOLARINDS,Chemicals,Unknown,14850.0,0,26.268263,32.6,38.1,,39.94,24.34,41.699999999999996,16.222,49.251,46.297041056730514,24.142873835267647,16.828395420689503,"{'dsri': np.float64(1.1770056827692807), 'gmi': np.float64(0.9790322821319397), 'sgi': np.float64(1.245563562147361), 'lvgi': np.float64(0.6954860036557065), 'tata': np.float64(-0.15229043300586348)}",133925.0,2468.0,92.2,LOW
BSE,0.7681,STRONG candidate (Financial Services). Profile: Average Performer (Requires Strict Checklist Review). Notable: expensive valuation (PE 62.9x).,BSE,Financial Services,Unknown,3381.6,0,21.81607,36.0,46.6,,73.4,58.47,50.0,50.727004,99.605006,61.534351816159116,48.1131692669764,10.471234284864101,"{'dsri': None, 'gmi': None, 'sgi': None, 'lvgi': None, 'tata': None}",137134.0,414.0,62.9,LOW
ADANIPOWER,0.7653,STRONG candidate (Power). Profile: Consistent Wealth Creator (Strong Economic Moat).,ADANIPOWER,Power,Unknown,184.83,0,6.102618,26.1,22.5,,38.11,26.61,-15.9,21.112000000000002,43.152002,42.117750680451834,31.63040143718839,23.199087433829867,"{'dsri': np.float64(0.9943405161787809), 'gmi': np.float64(0.9372855437267169), 'sgi': np.float64(1.121490909185358), 'lvgi': np.float64(0.934588308183372), 'tata': np.float64(-0.07582823470253566)}",355610.0,21501.0,31.0,LOW
UNIONBANK,0.7627,STRONG candidate (Financial Services). Profile: Average Performer (Requires Strict Checklist Review). Notable: stellar profit growth (50.7%). Caveat: Missing Moat data.,UNIONBANK,Financial Services,Unknown,188.73,0,1.0994471,17.1,6.72,,50.72,12.59,,34.967,0.0,,,,"{'dsri': None, 'gmi': None, 'sgi': None, 'lvgi': None, 'tata': None}",144161.0,17437.0,7.86,LOW
CGCL,0.7528,STRONG candidate (Financial Services). Profile: High-Risk Financial (NPA Threat). Caveat: Missing Quality data.,CGCL,Financial Services,Unknown,185.77,0,2.6815925,,,,32.64,49.06,50.0,34.675996999999995,94.03199599999999,26.334314189368847,17.08874610873321,2.0037893404856737,"{'dsri': None, 'gmi': None, 'sgi': None, 'lvgi': None, 'tata': None}",,,19.953814,LOW
INDIAMART,0.7528,STRONG candidate (Consumer Services). Profile: Average Performer (Requires Strict Checklist Review).,INDIAMART,Consumer Services,Unknown,2121.6,0,5.445809,30.0,37.7,,22.77,22.6,50.0,39.817002,55.09299600000001,93.58444304869687,35.454397469215124,0.28602421301925174,"{'dsri': np.float64(0.7158231441574967), 'gmi': np.float64(0.9840890228771212), 'sgi': np.float64(1.1600710242109), 'lvgi': np.float64(0.6777418290153953), 'tata': np.float64(-0.017542459089166205)}",12746.0,614.0,18.6,LOW
AIIL,0.746,GOOD candidate (Financial Services). Profile: Average Performer (Requires Strict Checklist Review).,AIIL,Financial Services,Unknown,444.0,0,2.3157566,33.9,30.3,,85.1,47.15,-50.0,110.109,98.696,97.79147099350412,145.71300019684486,0.6840358820055679,"{'dsri': None, 'gmi': None, 'sgi': None, 'lvgi': None, 'tata': None}",37642.0,326.0,10.4,LOW
INDUSTOWER,0.7418,GOOD candidate (Telecommunication). Profile: Average Performer (Requires Strict Checklist Review).,INDUSTOWER,Telecommunication,Unknown,433.6,0,3.0201085,32.5,29.0,,15.94,2.81,-50.0,22.201999999999998,55.651002999999996,61.992909025721374,47.94574209568832,15.826881963164116,"{'dsri': np.float64(0.7017196897633926), 'gmi': np.float64(0.9842279461822312), 'sgi': np.float64(1.0532226596644825), 'lvgi': np.float64(0.9113120499483841), 'tata': np.float64(-0.15376395832212025)}",114628.0,19645.0,16.1,LOW
INDIANB,0.7404,GOOD candidate (Financial Services). Profile: Average Performer (Requires Strict Checklist Review). Notable: stellar profit growth (39.6%). Caveat: Missing Moat data.,INDIANB,Financial Services,Unknown,976.05,0,1.6452619,17.1,6.38,,39.57,13.43,8.1,33.735,0.0,,,,"{'dsri': None, 'gmi': None, 'sgi': None, 'lvgi': None, 'tata': None}",132124.0,17396.0,11.0,LOW
TORNTPHARM,0.7367,GOOD candidate (Healthcare). Profile: Average Performer (Requires Strict Checklist Review). Notable: stellar profit growth (35.0%).,TORNTPHARM,Healthcare,Unknown,4211.0,0,16.879988,26.5,27.0,,34.98,10.36,26.1,17.833,75.641,74.51244781196846,25.854867569418367,16.492080673308447,"{'dsri': np.float64(0.9445018089057774), 'gmi': np.float64(0.9878458879997224), 'sgi': np.float64(1.071474895169712), 'lvgi': np.float64(0.7999755942325256), 'tata': np.float64(-0.04495474904834907)}",142530.0,2585.0,61.8,LOW
PNB,0.7357,GOOD candidate (Financial Services). Profile: Average Performer (Requires Strict Checklist Review). Notable: stellar profit growth (68.5%). Caveat: Missing Moat data.,PNB,Financial Services,Unknown,113.16,0,0.8732829,15.2,6.32,,68.53,13.24,1.9,34.674,0.0,,,,"{'dsri': None, 'gmi': None, 'sgi': None, 'lvgi': None, 'tata': None}",129755.0,22075.0,7.3,LOW
BANKBARODA,0.7339,GOOD candidate (Financial Services). Profile: Average Performer (Requires Strict Checklist Review). Notable: stellar profit growth (38.2%). Caveat: Missing Moat data.,BANKBARODA,Financial Services,Unknown,280.4,0,0.8826075,15.5,6.29,,38.19,12.92,4.5,29.962,0.0,,,,"{'dsri': None, 'gmi': None, 'sgi': None, 'lvgi': None, 'tata': None}",145315.0,34892.0,7.47,LOW
MAZDOCK,0.7334,GOOD candidate (Capital Goods). Profile: Average Performer (Requires Strict Checklist Review).,MAZDOCK,Capital Goods,Unknown,2541.9,0,11.507537,34.0,43.2,,58.09,25.11,9.0,19.519000000000002,38.903,37.17894898553417,22.247508940661163,9.53203096809229,"{'dsri': np.float64(0.46800123523344445), 'gmi': np.float64(0.7220284255997841), 'sgi': np.float64(1.2346744214000647), 'lvgi': np.float64(1.260109915253256), 'tata': np.float64(0.011685358502869612)}",102573.0,2078.0,42.6,LOW
HDFCAMC,0.7321,GOOD candidate (Financial Services). Profile: Average Performer (Requires Strict Checklist Review). Notable: exceptional capital efficiency (32.4%).,HDFCAMC,Financial Services,Unknown,2647.2,0,14.640863,32.4,43.3,,20.87,18.26,19.7,62.686,89.782,89.81117297995678,78.13139570780119,3.8205600210379482,"{'dsri': None, 'gmi': None, 'sgi': None, 'lvgi': None, 'tata': None}",112753.0,2075.0,39.2,LOW
WAAREEENER,0.7309,GOOD candidate (Capital Goods). Profile: Average Performer (Requires Strict Checklist Review).,WAAREEENER,Capital Goods,Unknown,3384.2,0,8.464352,27.4,34.9,,191.18,71.63,50.0,14.818999999999999,34.052,25.908576460939475,16.261475245052175,8.241585863736313,"{'dsri': np.float64(0.9647718055703093), 'gmi': np.float64(0.7702765190275667), 'sgi': np.float64(1.264200090931236), 'lvgi': np.float64(0.7829941847802901), 'tata': np.float64(-0.06536664610697723)}",97346.0,3158.0,28.0,LOW
MCX,0.7282,GOOD candidate (Financial Services). Profile: Average Performer (Requires Strict Checklist Review). Notable: expensive valuation (PE 76.9x).,MCX,Financial Services,Unknown,2818.7,0,23.028595,34.3,42.9,,57.46,44.55,50.0,51.717997000000004,95.308995,68.8835483514163,61.37618276704643,2.8919345594224177,"{'dsri': None, 'gmi': None, 'sgi': None, 'lvgi': None, 'tata': None}",72053.0,950.0,76.9,LOW
SUNPHARMA,0.7267,GOOD candidate (Healthcare). Profile: Average Performer (Requires Strict Checklist Review). Notable: stellar profit growth (49.5%).,SUNPHARMA,Healthcare,Unknown,1670.2,0,5.147598,16.9,20.2,,49.47,10.64,15.7,19.214001,78.54100000000001,76.56184276895732,24.175437753704994,25.06878677971801,"{'dsri': np.float64(1.064278621807109), 'gmi': np.float64(0.9760436099709295), 'sgi': np.float64(1.0896762771823625), 'lvgi': np.float64(0.669856691160829), 'tata': np.float64(-0.03412627803212531)}",399957.0,14072.0,33.0,LOW
TORNTPOWER,0.7215,GOOD candidate (Power). Profile: Average Performer (Requires Strict Checklist Review).,TORNTPOWER,Power,Unknown,1508.8,0,4.042299,18.7,16.9,,87.42,27.07,30.7,10.8830005,28.181,21.97549390641583,13.342537825504602,8.190599559862543,"{'dsri': np.float64(1.0054552956225937), 'gmi': np.float64(0.9202164009058953), 'sgi': np.float64(1.0723794070064425), 'lvgi': np.float64(0.6938668534591169), 'tata': np.float64(-0.04966481085423333)}",75863.0,4278.0,23.5,LOW
HEROMOTOCO,0.7209,GOOD candidate (Automobile and Auto Components). Profile: Average Performer (Requires Strict Checklist Review). Notable: exceptional capital efficiency (30.3%).,HEROMOTOCO,Automobile and Auto Components,Unknown,5307.0,0,5.0557594,23.1,30.3,,23.63,12.0,14.399999999999999,12.258001,33.598,33.587063822428945,12.68210320714847,8.305289113979518,"{'dsri': np.float64(1.1872421871751768), 'gmi': np.float64(0.9475682059669004), 'sgi': np.float64(1.0828069234764832), 'lvgi': np.float64(1.0632514725157094), 'tata': np.float64(0.0028562552306560826)}",106314.0,4297.0,19.2,LOW
HINDZINC,0.7162,GOOD candidate (Metals & Mining). Profile: Average Performer (Requires Strict Checklist Review).,HINDZINC,Metals & Mining,Unknown,584.4,0,18.025911,72.9,61.0,,2.45,4.7,46.2,33.234,73.285,76.7591779909809,42.35343966586967,0.3541055052813171,"{'dsri': np.float64(0.6415477935038676), 'gmi': np.float64(0.9860122850088767), 'sgi': np.float64(1.1765899864682003), 'lvgi': np.float64(1.2429545129367805), 'tata': np.float64(-0.11037982023775007)}",247604.0,14160.0,21.0,LOW
KARURVYSYA,0.7161,GOOD candidate (Financial Services). Profile: Average Performer (Requires Strict Checklist Review). Notable: stellar profit growth (42.3%). Caveat: Missing Moat data.,KARURVYSYA,Financial Services,Unknown,282.75,0,2.1350741,17.6,7.38,,42.34,16.67,39.1,38.388002,0.0,,,,"{'dsri': None, 'gmi': None, 'sgi': None, 'lvgi': None, 'tata': None}",27415.0,4487.0,11.9,LOW
BAJAJHFL,0.7138,GOOD candidate (Financial Services). Profile: High-Risk Financial (NPA Threat). Caveat: Missing Quality data.,BAJAJHFL,Financial Services,Unknown,87.2,0,3.4378078,,,,44.99,35.53,21.2,64.699996,99.217004,30.14556411815074,27.104535560915348,0.23835824765291203,"{'dsri': None, 'gmi': None, 'sgi': None, 'lvgi': None, 'tata': None}",,,29.360268,LOW
MARUTI,0.7119,GOOD candidate (Automobile and Auto Components). Profile: Average Performer (Requires Strict Checklist Review). Notable: stellar profit growth (55.2%).,MARUTI,Automobile and Auto Components,Unknown,13312.0,0,4.1966877,15.9,21.7,,55.19,20.08,4.1000000000000005,8.693,27.464,22.94569827068271,9.83131324227666,4.434638967210647,"{'dsri': np.float64(1.3166906932496183), 'gmi': np.float64(0.9858013650322386), 'sgi': np.float64(1.080484277254883), 'lvgi': np.float64(0.6411712408681146), 'tata': np.float64(-0.012396587755869057)}",417814.0,16136.0,28.0,LOW
SBIN,0.7109,GOOD candidate (Financial Services). Profile: Average Performer (Requires Strict Checklist Review). Caveat: Missing Moat data.,SBIN,Financial Services,Unknown,1079.1,0,1.6825156,17.2,6.47,,29.91,13.97,9.3,22.498,0.0,,,,"{'dsri': None, 'gmi': None, 'sgi': None, 'lvgi': None, 'tata': None}",996445.0,48486.0,12.3,LOW
IDBI,0.7105,GOOD candidate (Financial Services). Profile: Average Performer (Requires Strict Checklist Review). Notable: stellar profit growth (44.4%). Caveat: Missing Moat data.,IDBI,Financial Services,Unknown,74.79,0,1.1532768,13.6,6.76,,44.41,11.55,,51.49700000000001,0.0,,,,"{'dsri': None, 'gmi': None, 'sgi': None, 'lvgi': None, 'tata': None}",80600.0,24037.0,8.38,LOW
CANFINHOME,0.7101,GOOD candidate (Financial Services). Profile: High-Risk Financial (NPA Threat). Caveat: Missing Quality data; Missing Moat data.,CANFINHOME,Financial Services,Unknown,861.25,0,2.0994575,,,,22.08,18.85,24.9,63.762003,98.724,,,,"{'dsri': None, 'gmi': None, 'sgi': None, 'lvgi': None, 'tata': None}",,,11.773752,LOW
POLYCAB,0.71,GOOD candidate (Capital Goods). Profile: Average Performer (Requires Strict Checklist Review).,POLYCAB,Capital Goods,Unknown,7757.5,0,10.407806,21.4,29.7,,30.52,22.43,35.9,9.724,25.798,21.27963704925225,12.119255686617372,11.784388468123637,"{'dsri': np.float64(1.0223920661628114), 'gmi': np.float64(1.064260589021766), 'sgi': np.float64(1.2404789100073905), 'lvgi': np.float64(0.6540236378262595), 'tata': np.float64(0.015353231195312246)}",116468.0,1810.0,45.0,LOW
DRREDDY,0.7055,GOOD candidate (Healthcare). Profile: Average Performer (Requires Strict Checklist Review). Notable: stellar profit growth (33.9%).,DRREDDY,Healthcare,Unknown,1216.9,0,2.7208498,18.0,22.7,,33.87,14.94,-14.299999999999999,16.363001,55.181999999999995,58.4969358133534,22.121738061959544,27.775815196522647,"{'dsri': np.float64(0.9656538984186465), 'gmi': np.float64(1.0018653377557376), 'sgi': np.float64(1.1661066613173618), 'lvgi': np.float64(1.8362034676001115), 'tata': np.float64(0.02051972762069742)}",101369.0,4643.0,18.2,LOW
HYUNDAI,0.7041,GOOD candidate (Automobile and Auto Components). Profile: Average Performer (Requires Strict Checklist Review). Notable: exceptional capital efficiency (54.2%).,HYUNDAI,Automobile and Auto Components,Unknown,1786.0,0,8.26561,42.2,54.2,,24.8,13.51,6.3,8.285,28.722998,26.322302113122976,10.084501310801928,3.5163959083092435,"{'dsri': np.float64(0.9609017709067821), 'gmi': np.float64(0.93703928036182), 'sgi': np.float64(0.9905611602287256), 'lvgi': np.float64(0.893316962254049), 'tata': np.float64(0.04303669966524305)}",144795.0,4251.0,25.5,LOW
TMPV,0.6955,GOOD candidate (Automobile and Auto Components). Profile: Average Performer (Requires Strict Checklist Review). Caveat: Missing Growth data; Missing Quality data.,TMPV,Automobile and Auto Components,Unknown,354.75,0,1.1799042,,,,,16.65,,21.158001000000002,43.82,37.28071681535457,0.931044981811772,3.032821224254328,"{'dsri': np.float64(0.7714658481318767), 'gmi': np.float64(0.9726302934350698), 'sgi': np.float64(1.0130075229817352), 'lvgi': np.float64(0.6597159979553916), 'tata': np.float64(-0.09315395545132342)}",,,33.341164,LOW
MOTHERSON,0.688,GOOD candidate (Automobile and Auto Components). Profile: Average Performer (Requires Strict Checklist Review). Notable: stellar profit growth (63.3%).,MOTHERSON,Automobile and Auto Components,Unknown,123.01,0,3.5123637,12.2,13.7,,63.27,21.38,16.400000000000002,2.8299998,43.972,44.75919421294836,5.176073765182259,15.488324689068596,"{'dsri': np.float64(0.9684910214184944), 'gmi': np.float64(0.9704978056655953), 'sgi': np.float64(1.1509673816775312), 'lvgi': np.float64(0.7915999702931006), 'tata': np.float64(-0.026744988814968233)}",129239.0,6286.0,36.7,LOW
AXISBANK,0.6871,GOOD candidate (Financial Services). Profile: Average Performer (Requires Strict Checklist Review). Caveat: Missing Moat data.,AXISBANK,Financial Services,Unknown,1365.4,0,2.0479853,16.3,7.11,,25.72,18.36,3.8,34.17,0.0,,,,"{'dsri': None, 'gmi': None, 'sgi': None, 'lvgi': None, 'tata': None}",424302.0,44384.0,16.1,LOW
BANKINDIA,0.6866,GOOD candidate (Financial Services). Profile: Average Performer (Requires Strict Checklist Review). Notable: stellar profit growth (39.8%). Caveat: Missing Moat data.,BANKINDIA,Financial Services,Unknown,148.36,0,0.7814138,12.4,6.17,,39.83,16.33,6.7,31.186000000000003,0.0,,,,"{'dsri': None, 'gmi': None, 'sgi': None, 'lvgi': None, 'tata': None}",67698.0,18534.0,6.65,LOW
OBEROIRLTY,0.6849,GOOD candidate (Realty). Profile: Average Performer (Requires Strict Checklist Review).,OBEROIRLTY,Realty,Unknown,1700.9,0,3.694316,14.7,17.7,,28.57,25.06,0.6,41.36,62.269,64.79424577877431,57.52426571250968,2.1497880227835053,"{'dsri': np.float64(0.4715912461992811), 'gmi': np.float64(0.925373614888865), 'sgi': np.float64(1.1699033975723587), 'lvgi': np.float64(1.1418879436766285), 'tata': np.float64(0.0027674754044960653)}",61885.0,2163.0,27.4,LOW
DLF,0.6847,GOOD candidate (Realty). Profile: Average Performer (Requires Strict Checklist Review). Notable: stellar profit growth (42.8%).,DLF,Realty,Unknown,580.0,0,3.3368428,11.4,6.51,,42.77,11.65,13.600000000000001,46.577,40.117002,48.008191678944975,26.612583582124206,10.095056370330937,"{'dsri': np.float64(1.1724502086436879), 'gmi': np.float64(1.151766806495443), 'sgi': np.float64(1.2716169141072964), 'lvgi': np.float64(0.7361981369680503), 'tata': np.float64(-0.012487892400620154)}",143580.0,5235.0,33.3,MODERATE
HDFCBANK,0.6824,GOOD candidate (Financial Services). Profile: Average Performer (Requires Strict Checklist Review). Caveat: Missing Moat data.,HDFCBANK,Financial Services,Unknown,810.35,0,2.2067194,14.4,7.51,,20.39,32.5,11.5,26.186999999999998,0.0,,,13.62975257686227,"{'dsri': None, 'gmi': None, 'sgi': None, 'lvgi': None, 'tata': None}",1247863.0,127242.0,16.7,LOW
FIVESTAR,0.6758,GOOD candidate (Financial Services). Profile: High-Risk Financial (NPA Threat).,FIVESTAR,Financial Services,Unknown,433.15,0,1.873324,18.6,16.3,,33.23,29.94,0.3,49.447,99.61,61.385633630784156,53.90977980246768,,"{'dsri': None, 'gmi': None, 'sgi': None, 'lvgi': None, 'tata': None}",12799.0,-1045.0,11.6,LOW
VBL,0.6755,GOOD candidate (Fast Moving Consumer Goods). Profile: Average Performer (Requires Strict Checklist Review).,VBL,Fast Moving Consumer Goods,Unknown,441.85,0,7.6324472,16.2,19.7,,26.57,17.26,33.300000000000004,14.002,55.198,52.50446804748484,18.528108333616515,5.994983153987472,"{'dsri': np.float64(1.378185561824921), 'gmi': np.float64(1.0158465891027872), 'sgi': np.float64(1.0714607720650289), 'lvgi': np.float64(0.8034083008715011), 'tata': np.float64(-0.018494899855099653)}",149573.0,3509.0,51.0,LOW
NAM-INDIA,0.6751,GOOD candidate (Financial Services). Profile: Average Performer (Requires Strict Checklist Review).,NAM-INDIA,Financial Services,Unknown,944.25,0,13.697488,31.4,40.7,,20.02,19.52,35.8,51.226000000000006,82.522005,81.08343158394936,63.24321174165841,3.1151796081033223,"{'dsri': None, 'gmi': None, 'sgi': None, 'lvgi': None, 'tata': None}",60130.0,1200.0,41.7,LOW
ICICIBANK,0.671,GOOD candidate (Financial Services). Profile: Average Performer (Requires Strict Checklist Review). Caveat: Missing Moat data.,ICICIBANK,Financial Services,Unknown,1348.1,0,2.7645621,17.9,7.87,,26.67,20.72,-3.6999999999999997,27.512999999999998,0.0,,,,"{'dsri': None, 'gmi': None, 'sgi': None, 'lvgi': None, 'tata': None}",966441.0,122805.0,18.3,LOW
NATIONALUM,0.6682,GOOD candidate (Metals & Mining). Profile: Average Performer (Requires Strict Checklist Review). Notable: exceptional capital efficiency (44.0%).,NATIONALUM,Metals & Mining,Unknown,422.45,0,3.9092574,32.7,44.0,,21.3,5.83,1.9,33.936,70.835996,56.88579952575261,41.29079070638373,1.1186404668293903,"{'dsri': np.float64(0.9524928428870456), 'gmi': np.float64(0.6606109054389837), 'sgi': np.float64(1.2748306825032976), 'lvgi': np.float64(2.713369501100033), 'tata': np.float64(-0.02351919574026228)}",77671.0,5806.0,12.6,MODERATE
AMBUJACEM,0.667,GOOD candidate (Construction Materials). Profile: Average Performer (Requires Strict Checklist Review). Notable: massive gross margins.,AMBUJACEM,Construction Materials,Unknown,452.25,0,1.9874841,8.73,10.5,,14.44,5.33,-50.0,9.370000000000001,57.263,74.33238446046582,10.487677891182257,4.766744828532968,"{'dsri': np.float64(1.3034844631828064), 'gmi': np.float64(1.0346879894858614), 'sgi': np.float64(1.0255950007669892), 'lvgi': np.float64(0.9072596987314818), 'tata': np.float64(0.02384421797357009)}",112388.0,2237.0,29.2,LOW
POWERGRID,0.6648,GOOD candidate (Power). Profile: Average Performer (Requires Strict Checklist Review).,POWERGRID,Power,Unknown,302.85,0,2.8428345,17.0,12.8,,-2.65,2.61,8.4,32.792,97.81800000000001,96.33078543468415,59.35894422243864,18.071754719224412,"{'dsri': np.float64(0.6922416541216633), 'gmi': np.float64(1.0029293384922144), 'sgi': np.float64(0.9970628524243401), 'lvgi': np.float64(0.9985980194450865), 'tata': np.float64(-0.07779515465177773)}",281204.0,36223.0,18.1,LOW
COALINDIA,0.6647,GOOD candidate (Oil Gas & Consumable Fuels). Profile: Average Performer (Requires Strict Checklist Review). Notable: exceptional capital efficiency (96.6%).,COALINDIA,Oil Gas & Consumable Fuels,Unknown,433.9,0,2.536285,96.1,96.6,,26.76,7.31,-15.9,23.039,85.63,83.06793165496717,31.737095541304917,10.146829209922002,"{'dsri': np.float64(0.927285350961555), 'gmi': np.float64(1.0174886269191579), 'sgi': np.float64(0.9779220694394725), 'lvgi': np.float64(1.2806867736623455), 'tata': np.float64(0.023668480321379415)}",267370.0,1171.0,16.2,LOW
