# RUN METADATA
# Timestamp,2026-04-15T10:25:38
# Threshold,0.6
# Analysed,467
# Passed,101

ticker,score,reasoning,company_name,sector,industry,current_price,market_cap,pb_ratio,roe,roce,debt_to_equity,profit_cagr_3yr,revenue_cagr_3yr,eps_growth_1yr,pat_margin,gross_margin,gpm,opm,receivables_pct_sales,m_score_components,market_cap_crores,fcf_crores,pe_ratio,m_score_risk
COALINDIA,0.7712,STRONG candidate (Oil Gas & Consumable Fuels). Profile: Average Performer (Requires Strict Checklist Review). Notable: exceptional capital efficiency (48.0%).,COALINDIA,Oil Gas & Consumable Fuels,Unknown,434.8,0,2.5415456,38.9,48.0,,26.76,7.31,-15.9,23.039,85.63,83.06793165496717,31.737095541304917,10.146829209922002,"{'dsri': np.float64(0.927285350961555), 'gmi': np.float64(1.0174886269191579), 'sgi': np.float64(0.9779220694394725), 'lvgi': np.float64(1.2806867736623455), 'tata': np.float64(0.023668480321379415)}",267616.0,29200.0,8.95,LOW
BSE,0.7681,STRONG candidate (Financial Services). Profile: Average Performer (Requires Strict Checklist Review). Notable: expensive valuation (PE 63.1x).,BSE,Financial Services,Unknown,3396.5,0,21.912195,36.0,46.6,,73.4,58.47,50.0,50.727004,99.605006,61.534351816159116,48.1131692669764,10.471234284864101,"{'dsri': None, 'gmi': None, 'sgi': None, 'lvgi': None, 'tata': None}",137692.0,414.0,63.1,LOW
ADANIPOWER,0.765,STRONG candidate (Power). Profile: Consistent Wealth Creator (Strong Economic Moat).,ADANIPOWER,Power,Unknown,185.67,0,6.130353,26.1,22.5,,38.11,26.61,-15.9,21.112000000000002,43.152002,42.117750680451834,31.63040143718839,23.199087433829867,"{'dsri': np.float64(0.9943405161787809), 'gmi': np.float64(0.9372855437267169), 'sgi': np.float64(1.121490909185358), 'lvgi': np.float64(0.934588308183372), 'tata': np.float64(-0.07582823470253566)}",356188.0,21501.0,31.1,LOW
UNIONBANK,0.7627,STRONG candidate (Financial Services). Profile: Average Performer (Requires Strict Checklist Review). Notable: stellar profit growth (50.7%). Caveat: Missing Moat data.,UNIONBANK,Financial Services,Unknown,189.0,0,1.1010201,17.0,6.72,,50.72,12.59,,34.967,0.0,,,,"{'dsri': None, 'gmi': None, 'sgi': None, 'lvgi': None, 'tata': None}",144237.0,17479.0,7.61,LOW
M&M,0.7567,STRONG candidate (Automobile and Auto Components). Profile: Average Performer (Requires Strict Checklist Review).,M&M,Automobile and Auto Components,Unknown,3270.6,0,4.407852,18.0,13.9,,25.27,20.73,46.800000000000004,8.326,38.946,38.078377716096206,15.790554752518643,5.319596626328357,"{'dsri': np.float64(0.9684657482279656), 'gmi': np.float64(0.9978629411360379), 'sgi': np.float64(1.1461103629278375), 'lvgi': np.float64(0.9975617354856089), 'tata': np.float64(0.0351360677889436)}",404881.0,3176.0,25.3,LOW
INDIAMART,0.7532,STRONG candidate (Consumer Services). Profile: Average Performer (Requires Strict Checklist Review).,INDIAMART,Consumer Services,Unknown,2112.2,0,5.4216805,30.0,37.7,,22.77,22.6,50.0,39.817002,55.09299600000001,93.58444304869687,35.454397469215124,0.28602421301925174,"{'dsri': np.float64(0.7158231441574967), 'gmi': np.float64(0.9840890228771212), 'sgi': np.float64(1.1600710242109), 'lvgi': np.float64(0.6777418290153953), 'tata': np.float64(-0.017542459089166205)}",12656.0,614.0,18.4,LOW
SOLARINDS,0.748,GOOD candidate (Chemicals). Profile: Average Performer (Requires Strict Checklist Review). Notable: stellar profit growth (39.9%) | expensive valuation (PE 125.0x).,SOLARINDS,Chemicals,Unknown,14835.0,0,26.24173,29.7,37.3,,39.94,24.34,41.699999999999996,16.222,49.251,46.297041056730514,24.142873835267647,16.828395420689503,"{'dsri': np.float64(1.1770056827692807), 'gmi': np.float64(0.9790322821319397), 'sgi': np.float64(1.245563562147361), 'lvgi': np.float64(0.6954860036557065), 'tata': np.float64(-0.15229043300586348)}",134236.0,1054.0,125.0,LOW
AIIL,0.746,GOOD candidate (Financial Services). Profile: Average Performer (Requires Strict Checklist Review).,AIIL,Financial Services,Unknown,444.3,0,2.3173213,33.9,30.3,,85.1,47.15,-50.0,110.109,98.696,97.79147099350412,145.71300019684486,0.6840358820055679,"{'dsri': None, 'gmi': None, 'sgi': None, 'lvgi': None, 'tata': None}",37706.0,326.0,10.4,LOW
INDUSTOWER,0.7422,GOOD candidate (Telecommunication). Profile: Average Performer (Requires Strict Checklist Review).,INDUSTOWER,Telecommunication,Unknown,430.7,0,2.9999096,32.5,29.0,,15.94,2.81,-50.0,22.201999999999998,55.651002999999996,61.992909025721374,47.94574209568832,15.826881963164116,"{'dsri': np.float64(0.7017196897633926), 'gmi': np.float64(0.9842279461822312), 'sgi': np.float64(1.0532226596644825), 'lvgi': np.float64(0.9113120499483841), 'tata': np.float64(-0.15376395832212025)}",113850.0,19645.0,16.0,LOW
INDIANB,0.7407,GOOD candidate (Financial Services). Profile: Average Performer (Requires Strict Checklist Review). Notable: stellar profit growth (39.6%). Caveat: Missing Moat data.,INDIANB,Financial Services,Unknown,976.05,0,1.6452619,17.1,6.38,,39.57,13.43,8.1,33.735,0.0,,,,"{'dsri': None, 'gmi': None, 'sgi': None, 'lvgi': None, 'tata': None}",131464.0,17396.0,10.9,LOW
